query,expected_topic
Who was Genghis Khan?,historical
When did the Industrial Revolution start?,historical
Who wrote 'War and Peace'?,historical
What caused the fall of the Roman Empire?,historical
Who was Julius Caesar?,historical
When did the Renaissance begin?,historical
Who was Cleopatra?,historical
What was the Silk Road?,historical
Who discovered the Americas?,historical
When did World War II end?,historical
What is the theory of relativity?,scientific
Who developed the polio vaccine?,scientific
What is photosynthesis?,scientific
What is the Higgs boson?,scientific
How do black holes work?,scientific
What is DNA?,scientific
How does nuclear fusion work?,scientific
What is dark matter?,scientific
How do vaccines prevent diseases?,scientific
What is artificial intelligence?,scientific
How to make sushi?,other
How to change a car tire?,other
What are the best travel destinations?,other
How to improve public speaking skills?,other
What are the latest fashion trends?,other
How to start a small business?,other
What are the best meditation techniques?,other
How to learn a new language quickly?,other
What are the best workout routines?,other
How to manage personal finances?,other
Who was Alexander the Great?,historical
When did the French Revolution occur?,historical
What was the Ming Dynasty?,historical
Who was Charlemagne?,historical
What happened during the Cold War?,historical
Who was Mahatma Gandhi?,historical
When did the Berlin Wall fall?,historical
What was the Magna Carta?,historical
Who was Nelson Mandela?,historical
What was the Russian Revolution?,historical
What is quantum computing?,scientific
How do satellites work?,scientific
What is genetic engineering?,scientific
How do robots learn?,scientific
What is climate change?,scientific
How do solar panels generate electricity?,scientific
What is nanotechnology?,scientific
How does the human brain work?,scientific
What is stem cell research?,scientific
How do telescopes work?,scientific
How to cook perfect pasta?,other
What are the best coding languages to learn?,other
How to reduce stress?,other
What are the best photography techniques?,other
How to negotiate a salary?,other
What are the top podcasts?,other
How to plan a wedding?,other
What are the best productivity apps?,other
How to write a resume?,other
What are the best investment strategies?,other
Who was Aristotle?,historical
What was the Byzantine Empire?,historical
Who was Joan of Arc?,historical
When did the American Civil War happen?,historical
What was the Age of Enlightenment?,historical
What is machine learning?,scientific
How do electric cars work?,scientific
What is blockchain technology?,scientific
How do MRI machines work?,scientific
What is renewable energy?,scientific
How to learn guitar?,other
What are the best travel insurance options?,other
How to start a podcast?,other
What are the best online courses?,other
How to improve memory?,other
