category,question
historical,Who was Napoleon Bonaparte?
historical,What caused the fall of the Roman Empire?
historical,When did the French Revolution begin?
historical,Who was the president of the USA during the Civil War?
historical,What was the significance of the Treaty of Versailles?
historical,Who was Julius Caesar?
historical,What led to the Renaissance in Europe?
historical,When did World War II end?
historical,Who was Genghis Khan?
historical,What was the Industrial Revolution?
historical,Who was Queen Elizabeth I?
historical,What caused the American Revolution?
historical,When did the Cold War begin?
historical,Who was Mahatma Gandhi?
historical,What was the significance of the Magna Carta?
historical,Who was Leonardo da Vinci?
historical,What led to the fall of the Berlin Wall?
historical,When did the Russian Revolution occur?
historical,Who was Martin Luther King Jr.?
historical,What was the impact of the Black Death in Europe?
historical,Who was Cleopatra?
historical,What caused the collapse of the Soviet Union?
historical,When did the Age of Exploration begin?
historical,Who was Alexander the Great?
historical,What was the significance of the Silk Road?
historical,Who was Christopher Columbus?
historical,What led to the Protestant Reformation?
historical,When did the American Civil War end?
historical,Who was Catherine the Great?
historical,What was the impact of the Crusades?
historical,Who was Charlemagne?
historical,What caused the Great Depression?
historical,When did the Ottoman Empire fall?
historical,Who was Joan of Arc?
historical,What was the significance of the Gutenberg printing press?
historical,Who was William Shakespeare?
historical,What led to the Spanish Inquisition?
historical,When did the Ming Dynasty end?
historical,Who was Galileo Galilei?
historical,What was the impact of the Enlightenment?
historical,Who was Winston Churchill?
historical,What caused the Thirty Years' War?
historical,When did the Vietnam War begin?
historical,Who was Mao Zedong?
historical,What was the significance of the Louisiana Purchase?
historical,Who was Nelson Mandela?
historical,What led to the fall of the Aztec Empire?
historical,When did the Cultural Revolution in China start?
historical,Who was Marie Antoinette?
historical,What was the impact of the Opium Wars?
scientific,What is Einstein's theory of relativity?
scientific,What is quantum mechanics?
scientific,"What is DNA, and who discovered it?"
scientific,What is the speed of light?
scientific,Who discovered gravity?
scientific,What is the Big Bang theory?
scientific,What are black holes?
scientific,What is the theory of evolution?
scientific,Who invented the telephone?
scientific,What is the structure of an atom?
scientific,What is photosynthesis?
scientific,Who discovered penicillin?
scientific,What is the greenhouse effect?
scientific,What are stem cells?
scientific,Who invented the light bulb?
scientific,What is the theory of plate tectonics?
scientific,What is nuclear fission?
scientific,Who discovered X-rays?
scientific,What is the Doppler effect?
scientific,What is the human genome?
scientific,Who invented the computer?
scientific,What is dark matter?
scientific,What is the Higgs boson?
scientific,Who discovered radioactivity?
scientific,What is string theory?
scientific,What is artificial intelligence?
scientific,Who invented the internet?
scientific,What is the second law of thermodynamics?
scientific,What is CRISPR technology?
scientific,Who discovered the structure of the atom?
scientific,What is quantum entanglement?
scientific,What is the theory of general relativity?
scientific,Who invented the telescope?
scientific,What is the theory of continental drift?
scientific,What is the Hubble Space Telescope?
scientific,Who discovered the double helix structure of DNA?
scientific,What is the Large Hadron Collider?
scientific,What is dark energy?
scientific,Who discovered the laws of motion?
scientific,What is the theory of special relativity?
scientific,What is nuclear fusion?
scientific,Who invented the first computer programming language?
scientific,What is the theory of cosmic inflation?
scientific,What is the human microbiome?
scientific,Who discovered the structure of the solar system?
scientific,What is the theory of quantum field theory?
scientific,What is the Schrödinger's cat thought experiment?
scientific,Who invented the microscope?
scientific,What is the theory of natural selection?
